"hed__School_Code__c","hed__Primary_Contact__c"
"learn.colostate.edu.1124952","003Qm000009HwP0IAK"
"learn.colostate.edu.1124945",""
"learn.colostate.edu.1124954",""
"learn.colostate.edu.1124956",""
"learn.colostate.edu.1124966",""
"learn.colostate.edu.1124960","003Qm000009I3bpIAC"
"learn.colostate.edu.1124957",""
"learn.colostate.edu.1124967","003Qm000009IAIJIA4"
"learn.colostate.edu.1124961",""
"learn.colostate.edu.1124972",""
"learn.colostate.edu.1124978",""
"learn.colostate.edu.1124980","003Qm000008dhRtIAI"
"learn.colostate.edu.1124984","003Qm000004Wn9nIAC"
"learn.colostate.edu.1124981",""
"learn.colostate.edu.1124985",""
"learn.colostate.edu.1124991","003Qm000005kNEuIAM"
"learn.colostate.edu.1125002",""
"learn.colostate.edu.1125005",""
"learn.colostate.edu.1125004","003Qm000009JGIPIA4"
"learn.colostate.edu.1125003",""
"learn.colostate.edu.1125007","003Qm000009JM67IAG"
"learn.colostate.edu.1125009",""
"learn.colostate.edu.1125024",""
"learn.colostate.edu.1125008",""
"learn.colostate.edu.1125020","003Qm000009Jb1tIAC"
"learn.colostate.edu.1125018",""
"learn.colostate.edu.1124979",""
"learn.colostate.edu.1125025","003Qm000009JKacIAG"
"learn.colostate.edu.1125026",""
"learn.colostate.edu.1125030",""
"learn.colostate.edu.1125033","0035b00002tq2nhAAA"
"learn.colostate.edu.1125043",""
"learn.colostate.edu.1125038",""
"learn.colostate.edu.1125040",""
"learn.colostate.edu.1070791",""
"learn.colostate.edu.1070789",""
"learn.colostate.edu.948004",""
"learn.colostate.edu.936658","003VA000007M7gLYAS"
"learn.colostate.edu.1072964",""
"learn.colostate.edu.1134534",""
"learn.colostate.edu.1134490","003VA00000KHEeAYAX"
